code,state_name,Bicycle Friendly Ranking
AL,Alabama,39
AK,Alaska,36
AZ,Arizona,21
AR,Arkansas,35
CA,California,3
CO,Colorado,6
CT,Connecticut,24
DE,Delaware,7
FL,Florida,15
GA,Georgia,19
HI,Hawaii,49
ID,Idaho,28
IL,Illinois,16
IN,Indiana,38
IA,Iowa,30
KS,Kansas,47
KY,Kentucky,43
LA,Louisiana,29
ME,Maine,17
MD,Maryland,11
MA,Massachusetts,4
MI,Michigan,13
MN,Minnesota,2
MS,Mississippi,40
MO,Missouri,32
MT,Montana,45
NE,Nebraska,50
NV,Nevada,31
NH,New Hampshire,34
NJ,New Jersey,9
NM,New Mexico,44
NY,New York,23
NC,North Carolina,20
ND,North Dakota,48
OH,Ohio,18
OK,Oklahoma,46
OR,Oregon,5
PA,Pennsylvania,12
RI,Rhode Island,22
SC,South Carolina,41
SD,South Dakota,33
TN,Tennessee,27
TX,Texas,25
UT,Utah,8
VT,Vermont,14
VA,Virginia,10
WA,Washington,1
WV,West Virginia,37
WI,Wisconsin,26
WY,Wyoming,42
