code,state_name,Marginal_tax,Memo
AL,Alabama,6.5,
AK,Alaska,9.4,
AZ,Arizona,4.9,
AR,Arkansas,6.5,
CA,California,8.84,
CO,Colorado,4.63,
CT,Connecticut,9,
DE,Delaware,9.7,
FL,Florida,5.5,
GA,Georgia,6,
HI,Hawaii,6.4,
ID,Idaho,7.4,
IL,Illinois,7.75,
IN,Indiana,6,
IA,Iowa,12,
KS,Kansas,7,
KY,Kentucky,6,
LA,Louisiana,8,
ME,Maine,8.93,
MD,Maryland,8.25,
MA,Massachusetts,8,
MI,Michigan,6,
MN,Minnesota,9.8,
MS,Mississippi,5,
MO,Missouri,6.25,
MT,Montana,6.75,
NE,Nebraska,7.81,
NV,Nevada,0,
NH,New Hampshire,8.2,
NJ,New Jersey,9,
NM,New Mexico,6.2,
NY,New York,6.5,
NC,North Carolina,3,
ND,North Dakota,4.31,
OH,Ohio,0,Have a gross receipts tax with rates not comparable
OK,Oklahoma,6,
OR,Oregon,7.6,
PA,Pennsylvania,9.99,
RI,Rhode Island,7,
SC,South Carolina,5,
SD,South Dakota,0,
TN,Tennessee,6.5,
TX,Texas,0,Have a gross receipts tax with rates not comparable
UT,Utah,5,
VT,Vermont,8.5,
VA,Virginia,6,
WA,Washington,0,Have a gross receipts tax with rates not comparable
WV,West Virginia,6.5,
WI,Wisconsin,7.9,
WY,Wyoming,0,
