code,state_name,health_care,"Elderly populationTotal, % of population, 2017"
AL,Alabama,6.9,0.16
AK,Alaska,3.6,0.12
AZ,Arizona,13.5,0.16
AR,Arkansas,6,0.16
CA,California,14.2,0.14
CO,Colorado,16.2,0.15
CT,Connecticut,2.2,0.16
DE,Delaware,13.5,0.17
FL,Florida,12,0.19
GA,Georgia,14.2,0.13
HI,Hawaii,9.7,0.17
ID,Idaho,14.5,0.15
IL,Illinois,6.3,0.15
IN,Indiana,8.1,0.15
IA,Iowa,5.8,0.16
KS,Kansas,5.8,0.15
KY,Kentucky,3.8,0.16
LA,Louisiana,8.2,0.14
ME,Maine,3.1,0.19
MD,Maryland,7.7,0.15
MA,Massachusetts,11.6,0.15
MI,Michigan,5.7,0.16
MN,Minnesota,9.8,0.16
MS,Mississippi,5.7,0.15
MO,Missouri,7.1,0.17
MT,Montana,8.1,0.19
NE,Nebraska,4.6,0.16
NV,Nevada,18.5,0.16
NH,New Hampshire,4.3,0.17
NJ,New Jersey,7.7,0.16
NM,New Mexico,11.1,0.15
NY,New York,10.6,0.17
NC,North Carolina,6,0.16
ND,North Dakota,7.5,0.15
OH,Ohio,6.5,0.16
OK,Oklahoma,3.4,0.15
OR,Oregon,13,0.17
PA,Pennsylvania,5.9,0.18
RI,Rhode Island,1.6,0.17
SC,South Carolina,11.3,0.17
SD,South Dakota,5.3,0.18
TN,Tennessee,5.3,0.16
TX,Texas,12.2,0.12
UT,Utah,15.5,0.11
VT,Vermont,5.9,0.18
VA,Virginia,9.9,0.14
WA,Washington,6.3,0.15
WV,West Virginia,1.9,0.18
WI,Wisconsin,6.9,0.16
WY,Wyoming,4.2,0.15
,,,
,,1.6,
,,18.5,
