code,state_name,Average annual sunshine,Place,
AL,Alabama,58,Birmingham,
AK,Alaska,41,Anchorage,
AZ,Arizona,85,Tucson,
AR,Arkansas,61,Fort Smith,
CA,California,68,San Diego,
CO,Colorado,71,Grand Junction,
CT,Connecticut,56,Hartford,
DE,Delaware,57,Wilmington,
FL,Florida,66,Tampa,
GA,Georgia,66,Macon,
HI,Hawaii,71,Honolulu,
ID,Idaho,64,Boise,
IL,Illinois,56,Peoria,
IN,Indiana,55,Indianapolis,
IA,Iowa,59,Des Moines,
KS,Kansas,65,Wichita,
KY,Kentucky,56,Louisville,
LA,Louisiana,57,New Orleans,
ME,Maine,57,Portland,
MD,Maryland,57,Baltimore,
MA,Massachusetts,58,Boston,
MI,Michigan,51,Lansing,
MN,Minnesota,58,Minneapolis,
MS,Mississippi,61,Jackson,
MO,Missouri,60,Springfield,
MT,Montana,59,Helena,
NE,Nebraska,61,Lincoln,
NV,Nevada,79,Reno,
NH,New Hampshire,54,Concord,
NJ,New Jersey,56,Atlantic City,
NM,New Mexico,76,Albuquerque,
NY,New York,46,Syracuse,
NC,North Carolina,60,Greensboro,
ND,North Dakota,59,Bismarck,
OH,Ohio,50,Columbus,
OK,Oklahoma,68,Oklahoma City,
OR,Oregon,48,Portland,
PA,Pennsylvania,58,Harrisburg,
RI,Rhode Island,58,Providence,
SC,South Carolina,64,Columbia,
SD,South Dakota,63,Huron,
TN,Tennessee,56,Nashville,
TX,Texas,61,Dallas,
UT,Utah,66,Salt Lake City,
VT,Vermont,49,Burlington,
VA,Virginia,63,Richmond,
WA,Washington,47,Seattle,
WV,West Virginia,40,Beckley,
WI,Wisconsin,54,Madison,
WY,Wyoming,68,Lander,
